0.0	0.2640075878594249	26443	0.02640075878594249	26443	
0.5	0.1724341054313099	17271	0.01724341054313099	17271	
1.0	0.1064197284345048	10659	0.01064197284345048	10659	
1.5	0.06241014376996805	6251	0.006241014376996805	6251	
2.0	0.033805910543130992	3386	0.0033805910543130992	3386	
2.5	0.018170926517571886	1820	0.0018170926517571886	1820	
3.0	0.008649861878453039	1002	0.0008649861878453039	1002	
3.5	0.004073079427083333	1001	0.0004069010416666667	1000	
4.0	0.001630035621761658	1003	0.0002028011658031088	1002	
4.5	8.73e-04	985	9.86e-05	986	
5.0	3.67e-04	467	4.67e-05	467	
5.5	1.63e-04	213	2.13e-05	213	
6.0	9.02e-05	102	1.02e-05	102	
